number,company,symbol,ytd_return
321,KRAFT HEINZ CO/THE,KHC,-1.60%
322,NORTHROP GRUMMAN CORP,NOC,-1.74%
323,MSCI INC,MSCI,-1.77%
324,HASBRO INC,HAS,-1.90%
325,ILLUMINA INC,ILMN,-2.03%
326,IRON MOUNTAIN INC,IRM,-2.07%
327,MARATHON OIL CORP,MRO,-2.11%
328,QUANTA SERVICES INC,PWR,-2.12%
329,CF INDUSTRIES HOLDINGS INC,CF,-2.18%
330,CVS HEALTH CORP,CVS,-2.29%
331,GARTNER INC,IT,-2.29%
332,PINNACLE WEST CAPITAL,PNW,-2.32%
333,POOL CORP,POOL,-2.41%
334,ANALOG DEVICES INC,ADI,-2.44%
335,LIVE NATION ENTERTAINMENT IN,LYV,-2.56%
336,CONSOLIDATED EDISON INC,ED,-2.59%
337,DEVON ENERGY CORP,DVN,-2.63%
338,AGILENT TECHNOLOGIES INC,A,-2.66%
339,INVITATION HOMES INC,INVH,-2.67%
340,SMITH (A.O.) CORP,AOS,-2.68%
341,CONOCOPHILLIPS,COP,-2.76%
342,HALLIBURTON CO,HAL,-2.82%
343,CBRE GROUP INC   A,CBRE,-2.83%
344,FIFTH THIRD BANCORP,FITB,-2.90%
345,FLEETCOR TECHNOLOGIES INC,FLT,-2.94%
346,NIKE INC  CL B,NKE,-3.04%
347,EVERGY INC,EVRG,-3.05%
348,TRUIST FINANCIAL CORP,TFC,-3.11%
349,CELANESE CORP,CE,-3.21%
350,XCEL ENERGY INC,XEL,-3.39%
351,SOUTHERN CO/THE,SO,-3.41%
352,EQT CORP,EQT,-3.52%
353,FEDERAL REALTY INVS TRUST,FRT,-3.54%
354,NASDAQ INC,NDAQ,-3.61%
355,BLACKSTONE INC,BX,-3.61%
356,S+P GLOBAL INC,SPGI,-3.68%
357,SEMPRA,SRE,-3.71%
358,PHILIP MORRIS INTERNATIONAL,PM,-3.73%
359,TEXAS INSTRUMENTS INC,TXN,-3.74%
360,MOODY S CORP,MCO,-3.76%
361,EOG RESOURCES INC,EOG,-3.79%
362,PFIZER INC,PFE,-3.89%
363,COSTAR GROUP INC,CSGP,-3.90%
364,CAMDEN PROPERTY TRUST,CPT,-3.91%
365,INCYTE CORP,INCY,-3.92%
366,AFLAC INC,AFL,-3.93%
367,INTERNATIONAL PAPER CO,IP,-3.93%
368,CISCO SYSTEMS INC,CSCO,-4.04%
369,NETAPP INC,NTAP,-4.04%
370,LABORATORY CRP OF AMER HLDGS,LH,-4.12%
371,DUKE ENERGY CORP,DUK,-4.17%
372,ALEXANDRIA REAL ESTATE EQUIT,ARE,-4.22%
373,MONSTER BEVERAGE CORP,MNST,-4.29%
374,ALLIANT ENERGY CORP,LNT,-4.31%
375,TELEDYNE TECHNOLOGIES INC,TDY,-4.44%
376,BROADRIDGE FINANCIAL SOLUTIO,BR,-4.46%
377,AMCOR PLC,AMCR,-4.46%
378,ENPHASE ENERGY INC,ENPH,-4.46%
379,MICRON TECHNOLOGY INC,MU,-4.51%
380,ZOETIS INC,ZTS,-4.55%
381,COMCAST CORP CLASS A,CMCSA,-4.56%
382,FEDEX CORP,FDX,-4.57%
383,EASTMAN CHEMICAL CO,EMN,-4.58%
384,PPG INDUSTRIES INC,PPG,-4.61%
385,WEYERHAEUSER CO,WY,-4.63%
386,AVALONBAY COMMUNITIES INC,AVB,-4.78%
387,ETSY INC,ETSY,-4.84%
388,HONEYWELL INTERNATIONAL INC,HON,-4.85%
389,EDISON INTERNATIONAL,EIX,-4.95%
390,FACTSET RESEARCH SYSTEMS INC,FDS,-4.97%
391,MID AMERICA APARTMENT COMM,MAA,-5.05%
392,REVVITY INC,RVTY,-5.07%
393,ESSEX PROPERTY TRUST INC,ESS,-5.13%
394,KEURIG DR PEPPER INC,KDP,-5.16%
395,INTL FLAVORS + FRAGRANCES,IFF,-5.17%
396,UDR INC,UDR,-5.20%
397,DR HORTON INC,DHI,-5.26%
398,ROLLINS INC,ROL,-5.27%
399,APPLE INC,AAPL,-5.30%
400,BEST BUY CO INC,BBY,-5.31%
401,NORTHERN TRUST CORP,NTRS,-5.32%
402,MGM RESORTS INTERNATIONAL,MGM,-5.33%
403,EVERSOURCE ENERGY,ES,-5.35%
404,PNC FINANCIAL SERVICES GROUP,PNC,-5.35%
405,PUBLIC STORAGE,PSA,-5.37%
406,REGIONS FINANCIAL CORP,RF,-5.42%
407,SCHLUMBERGER LTD,SLB,-5.44%
408,HP INC,HPQ,-5.52%
409,GEN DIGITAL INC,GEN,-5.57%
410,LOCKHEED MARTIN CORP,LMT,-5.67%
411,US BANCORP,USB,-5.68%
412,UNITED PARCEL SERVICE CL B,UPS,-5.70%
413,LAMB WESTON HOLDINGS INC,LW,-5.78%
414,WEC ENERGY GROUP INC,WEC,-5.80%
415,CITIZENS FINANCIAL GROUP,CFG,-5.88%
416,NEXTERA ENERGY INC,NEE,-5.99%
417,TAKE TWO INTERACTIVE SOFTWRE,TTWO,-6.11%
418,DEXCOM INC,DXCM,-6.21%
419,BOSTON PROPERTIES INC,BXP,-6.34%
420,VERISIGN INC,VRSN,-6.40%
421,PAYPAL HOLDINGS INC,PYPL,-6.40%
422,CARRIER GLOBAL CORP,CARR,-6.41%
423,CROWN CASTLE INC,CCI,-6.51%
424,SCHWAB (CHARLES) CORP,SCHW,-6.79%
425,SNAP ON INC,SNA,-6.83%
426,STATE STREET CORP,STT,-6.86%
427,P G + E CORP,PCG,-6.93%
428,VICI PROPERTIES INC,VICI,-6.96%
429,BIO TECHNE CORP,TECH,-7.05%
430,DENTSPLY SIRONA INC,XRAY,-7.05%
431,ON SEMICONDUCTOR,ON,-7.08%
432,KIMCO REALTY CORP,KIM,-7.18%
